iter	Logloss
0	0.6811725935
1	0.6691805326
2	0.6579149104
3	0.6459399888
4	0.6348473526
5	0.6245472937
6	0.6142497845
7	0.6054531673
8	0.5970091896
9	0.5884946754
10	0.5801698115
11	0.5718752379
12	0.5644522897
13	0.558191327
14	0.5523558382
15	0.5472098889
16	0.5414544584
17	0.5358346823
18	0.5303823065
19	0.524907187
20	0.5198883508
21	0.5153816811
22	0.5108435091
23	0.5070664563
24	0.5031007211
25	0.4996008462
26	0.4956555043
27	0.4918972568
28	0.4885359162
29	0.4854504319
30	0.482409425
31	0.4796389753
32	0.4766869051
33	0.4743274243
34	0.4716579239
35	0.4692838167
36	0.4672201371
37	0.4651788609
38	0.4633875525
39	0.4615677819
40	0.4599542007
41	0.4578897845
42	0.4562841102
43	0.4544384173
44	0.4527072633
45	0.4513963099
46	0.4498721479
47	0.4484953544
48	0.4468200978
49	0.4456638816
50	0.4446764865
51	0.4432431359
52	0.4420886294
53	0.4415171666
54	0.4403747229
55	0.4390632469
56	0.4380608167
57	0.4372223336
58	0.4362634374
59	0.4352835006
60	0.4342279986
61	0.4335502489
62	0.4326226256
63	0.4317996945
64	0.4314816235
65	0.4306313253
66	0.429879633
67	0.4291269297
68	0.4286369218
69	0.4278346768
70	0.427077831
71	0.4263508647
72	0.425730939
73	0.4251526325
74	0.4244107426
75	0.4238472949
76	0.4232363397
77	0.4228555165
78	0.4222537039
79	0.4218941802
80	0.4214702415
81	0.4209671399
82	0.4207014274
83	0.4202593928
84	0.4196665906
85	0.4195260302
86	0.4190190869
87	0.418546161
88	0.4183244322
89	0.4177847598
90	0.4175152399
91	0.4171388522
92	0.416832831
93	0.4161846117
94	0.4160056455
95	0.4155269363
96	0.4152334936
97	0.4147872107
98	0.414363188
99	0.4140083062
100	0.4138140158
101	0.41350926
102	0.4131964158
103	0.4127500608
104	0.4122848407
105	0.4120497279
106	0.4116629671
107	0.4113253135
108	0.4111913512
109	0.4108654739
110	0.410662151
111	0.4103962773
112	0.4101480391
113	0.4099744486
114	0.4096224411
115	0.4093896384
116	0.4091810733
117	0.4089441762
118	0.4087910556
119	0.40855171
120	0.4080658536
121	0.4078068309
122	0.407573322
123	0.4073896864
124	0.4071449655
125	0.4069689715
126	0.4065993772
127	0.4065674075
128	0.4064294737
129	0.4061824306
130	0.4060562176
131	0.4058674214
132	0.405759809
133	0.4055324848
134	0.4054528959
135	0.405217048
136	0.4051653108
137	0.4049963366
138	0.4048422375
139	0.4047532313
140	0.4046881582
141	0.4046284948
142	0.4045886507
143	0.4044695509
144	0.4043256235
145	0.4041965859
146	0.4040649165
147	0.4039143156
148	0.4038224588
149	0.4035192869
150	0.403375705
151	0.4032882708
152	0.4032332854
153	0.4031126124
154	0.4029111911
155	0.4026929923
156	0.4025866952
157	0.4023133549
158	0.4021899586
159	0.4018887804
160	0.4017526445
161	0.4016414313
162	0.4014958634
163	0.4014247323
164	0.4013069929
165	0.4011790307
166	0.4011479391
167	0.4010686416
168	0.4009731929
169	0.4007951917
170	0.4004139948
171	0.400252786
172	0.4001177957
173	0.4000943311
174	0.4000062748
175	0.3998264349
176	0.3995560739
177	0.3993259061
178	0.3993046076
179	0.3991518491
180	0.3990157391
181	0.3989452512
182	0.3988957031
183	0.3987347579
184	0.3985846004
185	0.3984767386
186	0.3982423708
187	0.397952429
188	0.3978851067
189	0.3977669036
190	0.3975371047
191	0.3975143111
192	0.3975007711
193	0.397454482
194	0.3972157119
195	0.3971747262
196	0.3970144268
197	0.3969844145
198	0.3968684837
199	0.3967364112
200	0.39662669
201	0.3964498898
202	0.3964117474
203	0.3963619992
204	0.3962530479
205	0.3961062293
206	0.3960444615
207	0.3959491367
208	0.3958271512
209	0.3954062524
210	0.3954062518
211	0.3953465129
212	0.3953465125
213	0.3952550788
214	0.3951432821
215	0.3949940323
216	0.3949472803
217	0.3949166953
218	0.3947378102
219	0.3946015603
220	0.394389376
221	0.3943876999
222	0.3942562593
223	0.394143052
224	0.394101326
225	0.3940196653
226	0.3939959094
227	0.3939457799
228	0.3938408662
229	0.3937290324
230	0.3935144109
231	0.3935144072
232	0.3933998082
233	0.3933416495
234	0.393154794
235	0.3930950445
236	0.3930946222
237	0.3929186566
238	0.3927604887
239	0.392722078
240	0.3925857783
241	0.3925599405
242	0.3924663137
243	0.3924299096
244	0.3923961705
245	0.3923762693
246	0.392316751
247	0.3923005087
248	0.3922475922
249	0.3920893812
250	0.3919246717
251	0.391754483
252	0.3917544159
253	0.3916700975
254	0.3915854749
255	0.3915707146
256	0.3915395212
257	0.391493853
258	0.3914569909
259	0.3914311377
260	0.391301214
261	0.3912145891
262	0.3910080712
263	0.3910080511
264	0.3909700557
265	0.390888521
266	0.390866578
267	0.3908027268
268	0.3907071828
269	0.3906883658
270	0.3905104341
271	0.3904944157
272	0.3904575256
273	0.3902615495
274	0.3901751251
275	0.3900940761
276	0.3900462301
277	0.3899822386
278	0.3898503552
279	0.3898032457
280	0.3897318085
281	0.3896689043
282	0.3895204445
283	0.3894343233
284	0.3893708418
285	0.3893669907
286	0.3892621021
287	0.3892292062
288	0.3891111446
289	0.3891111416
290	0.3890038314
291	0.3888926059
292	0.3888462456
293	0.3887053759
294	0.3884959842
295	0.3883819542
296	0.3882231528
297	0.3882101564
298	0.388057469
299	0.3877978024
300	0.3877001707
301	0.3876594201
302	0.3876593909
303	0.3875943069
304	0.3875000253
305	0.3873605435
306	0.3872990041
307	0.3872886162
308	0.3872614682
309	0.3870891022
310	0.3869682576
311	0.386940254
312	0.3866810035
313	0.3865958751
314	0.3865371397
315	0.3865371134
316	0.3864540331
317	0.3863388749
318	0.3863388212
319	0.3862216484
320	0.3861676515
321	0.3860974073
322	0.3860261613
323	0.3859857114
324	0.385985399
325	0.3858553004
326	0.3857520617
327	0.3857445543
328	0.3856611178
329	0.3856551587
330	0.385594536
331	0.3855747645
332	0.3853548494
333	0.3852270494
334	0.3851065298
335	0.3851064724
336	0.384984419
337	0.3849093022
338	0.3848420243
339	0.3846778787
340	0.3845696479
341	0.3845556062
342	0.384461699
343	0.3843927155
344	0.384369544
345	0.3843684605
346	0.3843371774
347	0.3842394659
348	0.3840087135
349	0.3839999027
350	0.3838692988
351	0.3838140096
352	0.3838066362
353	0.3836775461
354	0.3835750848
355	0.3835174768
356	0.3834404929
357	0.3833925425
358	0.3833713566
359	0.3833337307
360	0.3831080961
361	0.38302795
362	0.3829075559
363	0.3828501007
364	0.3827039306
365	0.3826240726
366	0.3825518309
367	0.3824970565
368	0.3823639598
369	0.3822462943
370	0.3822066964
371	0.382016601
372	0.3818958859
373	0.3818307332
374	0.3817299955
375	0.3817204058
376	0.3816233276
377	0.3815908792
378	0.3814078225
379	0.3812410534
380	0.3811390674
381	0.3811334181
382	0.3811119224
383	0.3809523662
384	0.380918001
385	0.3808252607
386	0.3807402749
387	0.380710517
388	0.3806589576
389	0.3805838903
390	0.3804954689
391	0.3804208663
392	0.3803818409
393	0.3803312015
394	0.3802277539
395	0.380144005
396	0.3801178895
397	0.3800121849
398	0.3799956124
399	0.3798526928
400	0.3796088517
401	0.3795591227
402	0.3795131179
403	0.3794419781
404	0.3793364832
405	0.3792638152
406	0.3790957991
407	0.3789436042
408	0.3789435982
409	0.3788923009
410	0.3787456818
411	0.378662666
412	0.3784807683
413	0.3784575737
414	0.3783414178
415	0.378041809
416	0.3779990165
417	0.377910402
418	0.3777408549
419	0.3775700478
420	0.3775072671
421	0.3773146611
422	0.377307883
423	0.3772471909
424	0.3771836872
